year,Quarter,GEO,Migration_rate,vacancy_rate_change
2024,1,New Brunswick,"24,54","-8,08"
2015,2,Newfoundland and Labrador,"38,07","-17,58"
2015,3,Newfoundland and Labrador,"5,88","4,00"
2015,4,Newfoundland and Labrador,"25,69","-19,23"
2016,1,Newfoundland and Labrador,"15,75","-14,29"
2016,2,Newfoundland and Labrador,"-14,56","12,96"
2016,3,Newfoundland and Labrador,"-26,82","-3,28"
2016,4,Newfoundland and Labrador,"-38,55","-23,73"
2017,1,Newfoundland and Labrador,"62,11","4,44"
2017,2,Newfoundland and Labrador,"31,42","31,91"
2017,3,Newfoundland and Labrador,"6,71","-16,13"
2017,4,Newfoundland and Labrador,"-41,80","-11,54"
2018,1,Newfoundland and Labrador,"38,97","0,00"
2018,2,Newfoundland and Labrador,"37,16","54,35"
2018,3,Newfoundland and Labrador,"18,72","-16,90"
2018,4,Newfoundland and Labrador,"-28,84","-3,39"
2019,1,Newfoundland and Labrador,"-19,53","-10,53"
2019,2,Newfoundland and Labrador,"98,55","47,06"
2019,3,Newfoundland and Labrador,"1,64","-16,00"
2019,4,Newfoundland and Labrador,"-14,54","11,11"
2020,1,Newfoundland and Labrador,"-24,16","-7,14"
2020,2,Newfoundland and Labrador,"-52,63","0,00"
2020,3,Newfoundland and Labrador,"-21,05","0,00"
2020,4,Newfoundland and Labrador,"71,11","24,62"
2021,1,Newfoundland and Labrador,"12,12","-20,99"
2021,2,Newfoundland and Labrador,"0,00","75,00"
2021,3,Newfoundland and Labrador,"123,55","-6,25"
2021,4,Newfoundland and Labrador,"64,42","-1,90"
2022,1,Newfoundland and Labrador,"-34,45","-6,80"
2022,2,Newfoundland and Labrador,"9,94","38,54"
2022,3,Newfoundland and Labrador,"60,50","-15,04"
2022,4,Newfoundland and Labrador,"-1,54","-18,58"
2023,1,Newfoundland and Labrador,"88,65","-8,70"
2023,2,Newfoundland and Labrador,"-45,87","51,19"
2023,3,Newfoundland and Labrador,"-4,70","-23,62"
2023,4,Newfoundland and Labrador,"21,23","-12,37"
2024,1,Newfoundland and Labrador,"10,01","-14,12"
2015,2,Northwest Territories,"137,93","84,93"
2015,3,Northwest Territories,"-1,45","-25,19"
2015,4,Northwest Territories,"-33,82","-15,84"
2016,1,Northwest Territories,"11,11","4,71"
2016,2,Northwest Territories,"14,00","-8,99"
2016,3,Northwest Territories,"-38,60","-4,94"
2016,4,Northwest Territories,"17,14","-2,60"
2017,1,Northwest Territories,"102,44","-41,33"
2017,2,Northwest Territories,"-20,48","102,27"
2017,3,Northwest Territories,"-40,91","-11,24"
2017,4,Northwest Territories,"28,21","-11,39"
2018,1,Northwest Territories,"106,00","55,71"
2018,2,Northwest Territories,"-38,83","-11,93"
2018,3,Northwest Territories,"-11,11","-35,42"
2018,4,Northwest Territories,"1,79","53,23"
2019,1,Northwest Territories,"-3,51","7,37"
2019,2,Northwest Territories,"7,27","-0,98"
2019,3,Northwest Territories,"-20,34","2,97"
2019,4,Northwest Territories,"-23,40","-35,58"
2020,1,Northwest Territories,"33,33","-23,88"
2020,2,Northwest Territories,"-37,50","0,00"
2020,3,Northwest Territories,"-30,00","0,00"
2020,4,Northwest Territories,"19,05","80,39"
2021,1,Northwest Territories,"32,00","-18,48"
2021,2,Northwest Territories,"96,97","89,33"
2021,3,Northwest Territories,"40,00","26,76"
2021,4,Northwest Territories,"18,68","-41,67"
2022,1,Northwest Territories,"-27,78","52,38"
2022,2,Northwest Territories,"-11,54","-13,75"
2022,3,Northwest Territories,"-10,14","57,25"
2022,4,Northwest Territories,"-61,29","-32,72"
2023,1,Northwest Territories,"416,67","-17,12"
2023,2,Northwest Territories,"-41,94","41,32"
2023,3,Northwest Territories,"-4,17","-14,04"
2023,4,Northwest Territories,"-7,25","-3,40"
2024,1,Northwest Territories,"81,25","-59,15"
2015,2,Nova Scotia,"38,27","48,28"
2015,3,Nova Scotia,"28,40","-10,47"
2015,4,Nova Scotia,"-13,68","-27,27"
2016,1,Nova Scotia,"103,26","-3,57"
2016,2,Nova Scotia,"-13,35","22,22"
2016,3,Nova Scotia,"-30,52","0,00"
2016,4,Nova Scotia,"-21,03","-13,64"
2017,1,Nova Scotia,"27,87","-8,77"
2017,2,Nova Scotia,"6,41","42,31"
2017,3,Nova Scotia,"-4,62","-5,41"
2017,4,Nova Scotia,"-12,38","-2,86"
2018,1,Nova Scotia,"33,20","-5,88"
2018,2,Nova Scotia,"21,07","29,69"
2018,3,Nova Scotia,"4,35","-4,82"
2018,4,Nova Scotia,"-23,66","-6,33"
2019,1,Nova Scotia,"-2,31","-4,05"
2019,2,Nova Scotia,"67,32","28,17"
2019,3,Nova Scotia,"16,85","1,10"
2019,4,Nova Scotia,"-30,85","-14,13"
2020,1,Nova Scotia,"-30,81","-10,13"
2020,2,Nova Scotia,"-27,53","0,00"
2020,3,Nova Scotia,"-13,94","0,00"
2020,4,Nova Scotia,"-1,35","18,31"
2021,1,Nova Scotia,"36,11","9,52"
2021,2,Nova Scotia,"9,05","15,22"
2021,3,Nova Scotia,"184,79","16,04"
2021,4,Nova Scotia,"29,39","9,76"
2022,1,Nova Scotia,"-18,86","-4,44"
2022,2,Nova Scotia,"8,08","19,38"
2022,3,Nova Scotia,"12,29","-4,55"
2022,4,Nova Scotia,"-50,14","-7,48"
2023,1,Nova Scotia,"100,51","-9,56"
2023,2,Nova Scotia,"-37,32","8,13"
2023,3,Nova Scotia,"6,04","-12,78"
2023,4,Nova Scotia,"6,57","-16,38"
2024,1,Nova Scotia,"43,44","-9,28"
2015,2,Nunavut,"-16,67","-15,91"
2015,3,Nunavut,"-30,00","-24,32"
2015,4,Nunavut,"14,29","48,21"
2016,1,Nunavut,"62,50","13,25"
2016,2,Nunavut,"-15,38","-28,72"
2016,3,Nunavut,"-9,09","0,00"
2016,4,Nunavut,"-80,00","-7,46"
2017,1,Nunavut,"400,00","-38,71"
2017,2,Nunavut,"40,00","105,26"
2017,3,Nunavut,"-92,86","-7,69"
2017,4,Nunavut,"1400,00","-8,33"
2018,1,Nunavut,"-40,00","18,18"
2018,2,Nunavut,"-33,33","-20,51"
2018,3,Nunavut,"-33,33","14,52"
2018,4,Nunavut,"125,00","15,49"
2019,1,Nunavut,"-33,33","7,32"
2019,2,Nunavut,"0,00","0,00"
2019,3,Nunavut,"50,00","20,45"
2019,4,Nunavut,"111,11","-48,11"
2020,1,Nunavut,"-42,11","56,36"
2020,2,Nunavut,"-100,00","0,00"
2020,3,Nunavut,"0,00","0,00"
2020,4,Nunavut,"0,00","-69,77"
2021,1,Nunavut,"-55,56","153,85"
2021,2,Nunavut,"100,00","25,76"
2021,3,Nunavut,"100,00","-44,58"
2021,4,Nunavut,"-31,25","102,17"
2022,1,Nunavut,"0,00","-25,81"
2022,2,Nunavut,"36,36","0,00"
2022,3,Nunavut,"-53,33","-62,32"
2022,4,Nunavut,"42,86","311,54"
2023,1,Nunavut,"10,00","-33,64"
2023,2,Nunavut,"54,55","109,86"
2023,3,Nunavut,"-5,88","-70,47"
2023,4,Nunavut,"-18,75","127,27"
2024,1,Nunavut,"-30,77","0,00"
2015,2,Ontario,"40,03","0,00"
2015,3,Ontario,"7,15","-12,36"
2015,4,Ontario,"-10,80","-5,13"
2016,1,Ontario,"19,86","-9,46"
2016,2,Ontario,"1,64","23,88"
2016,3,Ontario,"-23,10","1,20"
2016,4,Ontario,"-14,76","-8,33"
2017,1,Ontario,"19,69","6,49"
2017,2,Ontario,"7,82","9,76"
2017,3,Ontario,"2,88","0,00"
2017,4,Ontario,"11,85","-1,11"
2018,1,Ontario,"12,30","-4,49"
2018,2,Ontario,"7,22","15,29"
2018,3,Ontario,"-12,04","0,00"
2018,4,Ontario,"-6,24","2,04"
2019,1,Ontario,"-0,04","-11,00"
2019,2,Ontario,"39,70","11,24"
2019,3,Ontario,"5,51","-4,04"
2019,4,Ontario,"-28,67","-8,42"
2020,1,Ontario,"-1,29","-1,15"
2020,2,Ontario,"-50,32","0,00"
2020,3,Ontario,"7,39","0,00"
2020,4,Ontario,"0,18","18,60"
2021,1,Ontario,"102,48","-2,94"
2021,2,Ontario,"9,58","30,30"
2021,3,Ontario,"53,78","21,71"
2021,4,Ontario,"13,50","0,00"
2022,1,Ontario,"-24,31","-3,82"
2022,2,Ontario,"0,25","13,25"
2022,3,Ontario,"-1,32","-5,85"
2022,4,Ontario,"-33,40","-14,29"
2023,1,Ontario,"82,22","-12,32"
2023,2,Ontario,"-9,71","1,65"
2023,3,Ontario,"-14,19","-9,76"
2023,4,Ontario,"-6,83","-13,51"
2024,1,Ontario,"20,18","-7,29"
2015,2,Prince Edward Island,"47,96","-5,62"
2015,3,Prince Edward Island,"25,86","-23,81"
2015,4,Prince Edward Island,"-7,12","1,56"
2016,1,Prince Edward Island,"65,19","-38,46"
2016,2,Prince Edward Island,"34,11","92,50"
2016,3,Prince Edward Island,"-7,59","-32,47"
2016,4,Prince Edward Island,"-55,62","-15,38"
2017,1,Prince Edward Island,"97,08","11,36"
2017,2,Prince Edward Island,"7,41","108,16"
2017,3,Prince Edward Island,"-3,68","-18,63"
2017,4,Prince Edward Island,"-27,39","-31,33"
2018,1,Prince Edward Island,"5,26","-3,51"
2018,2,Prince Edward Island,"9,38","52,73"
2018,3,Prince Edward Island,"30,48","20,24"
2018,4,Prince Edward Island,"-36,20","-9,90"
2019,1,Prince Edward Island,"24,49","-25,27"
2019,2,Prince Edward Island,"10,48","55,88"
2019,3,Prince Edward Island,"42,26","-15,09"
2019,4,Prince Edward Island,"-47,72","-70,00"
2020,1,Prince Edward Island,"10,51","192,59"
2020,2,Prince Edward Island,"-42,71","0,00"
2020,3,Prince Edward Island,"-9,54","0,00"
2020,4,Prince Edward Island,"1,17","7,59"
2021,1,Prince Edward Island,"41,31","-14,12"
2021,2,Prince Edward Island,"-10,38","109,59"
2021,3,Prince Edward Island,"225,61","-18,30"
2021,4,Prince Edward Island,"-20,32","16,00"
2022,1,Prince Edward Island,"-23,38","-10,34"
2022,2,Prince Edward Island,"33,13","46,92"
2022,3,Prince Edward Island,"-3,80","-18,85"
2022,4,Prince Edward Island,"-62,51","-15,48"
2023,1,Prince Edward Island,"307,03","0,00"
2023,2,Prince Edward Island,"-45,53","34,35"
2023,3,Prince Edward Island,"18,88","-42,05"
2023,4,Prince Edward Island,"0,00","-18,63"
2024,1,Prince Edward Island,"61,21","8,43"
2015,2,Quebec,"45,84","-31,11"
2015,3,Quebec,"2,19","-16,13"
2015,4,Quebec,"-8,11","-15,38"
2016,1,Quebec,"9,90","4,55"
2016,2,Quebec,"9,30","28,26"
2016,3,Quebec,"-3,05","-3,39"
2016,4,Quebec,"-35,42","-7,02"
2017,1,Quebec,"35,56","5,66"
2017,2,Quebec,"24,95","28,57"
2017,3,Quebec,"-13,87","1,39"
2017,4,Quebec,"-30,93","6,85"
2018,1,Quebec,"15,32","1,28"
2018,2,Quebec,"21,88","21,52"
2018,3,Quebec,"14,11","1,04"
2018,4,Quebec,"-26,43","-3,09"
2019,1,Quebec,"-28,73","1,06"
2019,2,Quebec,"26,46","18,95"
2019,3,Quebec,"13,30","-4,42"
2019,4,Quebec,"-6,20","-8,33"
2020,1,Quebec,"-26,25","5,05"
2020,2,Quebec,"-62,60","0,00"
2020,3,Quebec,"141,97","0,00"
2020,4,Quebec,"-2,23","16,35"
2021,1,Quebec,"43,86","4,13"
2021,2,Quebec,"-8,94","27,78"
2021,3,Quebec,"60,72","15,53"
2021,4,Quebec,"7,84","-2,69"
2022,1,Quebec,"-14,92","-3,87"
2022,2,Quebec,"34,20","10,34"
2022,3,Quebec,"12,64","-5,73"
2022,4,Quebec,"-21,44","-15,47"
2023,1,Quebec,"-0,78","-4,58"
2023,2,Quebec,"-27,69","1,37"
2023,3,Quebec,"42,15","-14,19"
2023,4,Quebec,"-47,74","-14,17"
2024,1,Quebec,"54,97","-6,42"
2015,2,Saskatchewan,"53,99","-73,53"
2015,3,Saskatchewan,"1,43","170,37"
2015,4,Saskatchewan,"-22,34","-8,22"
2016,1,Saskatchewan,"43,81","-13,43"
2016,2,Saskatchewan,"10,05","10,34"
2016,3,Saskatchewan,"-23,28","-10,94"
2016,4,Saskatchewan,"-19,97","-10,53"
2017,1,Saskatchewan,"37,77","3,92"
2017,2,Saskatchewan,"10,82","35,85"
2017,3,Saskatchewan,"-6,37","-13,89"
2017,4,Saskatchewan,"-33,25","-8,06"
2018,1,Saskatchewan,"50,64","5,26"
2018,2,Saskatchewan,"9,89","18,33"
2018,3,Saskatchewan,"-3,56","-5,63"
2018,4,Saskatchewan,"-31,51","-16,42"
2019,1,Saskatchewan,"-1,52","0,00"
2019,2,Saskatchewan,"37,77","32,14"
2019,3,Saskatchewan,"40,41","-4,05"
2019,4,Saskatchewan,"-35,45","-11,27"
2020,1,Saskatchewan,"-15,18","17,46"
2020,2,Saskatchewan,"-57,82","0,00"
2020,3,Saskatchewan,"35,45","0,00"
2020,4,Saskatchewan,"-18,88","-8,11"
2021,1,Saskatchewan,"75,02","20,59"
2021,2,Saskatchewan,"-27,69","35,37"
2021,3,Saskatchewan,"71,46","19,82"
2021,4,Saskatchewan,"21,25","-8,27"
2022,1,Saskatchewan,"12,89","8,20"
2022,2,Saskatchewan,"29,87","18,18"
2022,3,Saskatchewan,"29,05","-2,56"
2022,4,Saskatchewan,"-26,30","-7,24"
2023,1,Saskatchewan,"43,77","-2,84"
2023,2,Saskatchewan,"-10,42","11,68"
2023,3,Saskatchewan,"-9,06","-4,58"
2023,4,Saskatchewan,"-14,57","-16,44"
2024,1,Saskatchewan,"9,10","-12,30"
2015,2,Yukon,"32,73","30,84"
2015,3,Yukon,"34,25","-44,29"
2015,4,Yukon,"-58,16","0,00"
2016,1,Yukon,"58,54","-33,33"
2016,2,Yukon,"-23,08","84,62"
2016,3,Yukon,"-10,00","-7,29"
2016,4,Yukon,"13,33","-2,25"
2017,1,Yukon,"43,14","-18,39"
2017,2,Yukon,"-12,33","80,28"
2017,3,Yukon,"-23,44","-11,72"
2017,4,Yukon,"-20,41","-30,97"
2018,1,Yukon,"141,03","47,44"
2018,2,Yukon,"-13,83","24,35"
2018,3,Yukon,"-18,52","-9,79"
2018,4,Yukon,"0,00","-9,30"
2019,1,Yukon,"-4,55","5,98"
2019,2,Yukon,"80,95","43,55"
2019,3,Yukon,"14,04","-10,67"
2019,4,Yukon,"-28,46","-15,72"
2020,1,Yukon,"-4,30","9,70"
2020,2,Yukon,"-73,03","0,00"
2020,3,Yukon,"54,17","0,00"
2020,4,Yukon,"-29,73","-38,78"
2021,1,Yukon,"223,08","56,67"
2021,2,Yukon,"82,14","54,61"
2021,3,Yukon,"9,80","-9,17"
2021,4,Yukon,"13,69","-6,57"
2022,1,Yukon,"-11,52","-3,24"
2022,2,Yukon,"-19,53","46,93"
2022,3,Yukon,"-17,65","-7,98"
2022,4,Yukon,"-66,96","-21,49"
2023,1,Yukon,"827,03","1,05"
2023,2,Yukon,"-46,06","-0,52"
2023,3,Yukon,"-9,73","-13,61"
2023,4,Yukon,"16,77","-23,03"
2024,1,Yukon,"52,31","11,02"
